dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,icq,nof,nom,wmc,gc,rb
1,0,0,-1.0,0.0,4,0,0,0,0,0,0,0,0
1,0,1,-1.0,,6,0,0,0,4,0,0,0,0
2,0,3,0.0,0.0,9,0,0,0,0,3,3,0,0
5,1,3,,0.0,23,0,1,2,0,2,3,0,0
2,1,5,0.0,0.33333334,13,0,4,0,1,3,4,0,0
5,1,3,,0.0,23,0,1,2,0,2,3,0,0
5,1,3,,0.0,23,0,1,2,0,2,3,0,0
2,0,4,0.0,0.0,13,0,4,0,0,2,2,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,1,2,0.0,0.75,38,0,2,1,5,4,5,0,0
3,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
3,1,8,0.0,0.0,40,0,15,0,0,7,14,0,0
1,0,0,-1.0,0.0,36,0,0,9,0,0,0,0,0
4,0,3,0.0,0.0,17,0,8,0,1,2,4,0,0
1,0,1,,0.0,9,0,0,0,0,1,1,0,0
1,0,0,0.0,0.0,81,0,2,0,0,6,26,0,0
3,3,9,0.0,0.8,86,0,21,0,5,8,21,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
1,4,5,0.0,0.2857143,46,0,15,0,1,7,12,0,0
6,1,4,0.0,0.0,13,0,3,0,0,3,4,0,0
3,7,12,0.0,0.84,63,0,8,1,5,10,10,0,0
4,3,9,0.0,0.875,63,2,21,1,3,8,9,0,0
1,2,7,0.0,0.0,53,0,2,0,0,18,18,0,0
1,0,2,0.0,0.5555556,69,0,15,0,3,6,15,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
4,1,4,0.0,0.6666667,33,0,7,0,3,4,10,0,0
1,0,0,,0.0,5,0,1,0,0,1,1,0,0
1,9,3,0.0,0.0,5,0,0,0,0,3,3,0,0
4,2,6,0.0,0.75,53,0,16,0,1,8,26,0,0
4,2,10,0.0,0.6,38,0,13,0,2,5,11,0,0
1,0,1,,0.0,3,0,0,0,0,1,1,0,0
4,4,7,0.0,0.8240741,101,2,14,0,9,12,30,0,0
2,0,4,0.0,0.0,19,0,4,0,0,3,3,0,0
1,0,0,0.0,1.0,58,0,2,3,4,11,11,0,0
4,2,7,0.0,0.6363636,102,0,24,0,2,11,54,1,0
11,3,7,0.0,0.7857143,179,0,22,3,4,7,12,0,0
1,1,0,-1.0,0.0,6,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,4,0,0,1,0,0,0,0,0
2,0,6,0.0,0.0,40,0,6,0,0,5,5,0,0
1,1,2,,1.0,25,0,0,1,1,7,7,0,0
1,0,2,0.0,0.5,27,0,6,0,3,6,6,0,0
3,3,4,0.0,0.0,21,0,7,0,0,3,7,0,0
1,0,8,0.0,0.75,44,0,20,0,4,8,13,0,0
1,0,0,,0.0,6,0,0,0,1,1,1,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,0.0,0.0,8,0,0,0,0,2,2,0,0
1,0,0,-1.0,,4,0,0,0,2,0,0,0,0
2,19,14,0.0,0.8333334,53,1,15,0,4,15,18,0,0
2,0,14,0.0,0.0,23,0,2,0,0,7,7,0,0
1,0,0,-1.0,0.0,4,0,0,1,0,0,0,0,0
1,0,1,,1.0,26,0,0,0,20,1,1,0,0
1,1,2,,0.0,15,0,1,0,0,2,6,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
1,0,2,-1.0,,3,0,0,0,1,0,0,0,0
1,0,1,,0.0,3,0,0,0,0,1,1,0,0
1,0,0,0.0,0.8333333,16,0,0,0,3,2,2,0,0
2,0,5,0.0,0.0,14,0,1,0,0,4,4,0,0
1,0,0,,0.0,21,0,1,0,0,1,1,0,0
1,0,0,,0.0,12,0,1,0,0,1,3,0,0
1,0,0,-1.0,0.0,10,0,1,0,0,1,2,0,0
1,0,0,,0.0,3,0,0,0,0,1,1,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,0,0,-1.0,0.0,5,0,0,1,0,0,0,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
2,0,4,0.0,0.0,13,0,4,0,0,2,2,0,0
1,0,1,,0.0,9,0,0,0,0,1,1,0,0
1,1,2,0.0,0.0,9,0,1,0,0,1,3,0,0
2,0,4,0.0,0.0,16,0,6,0,0,2,2,0,0
4,2,6,0.0,0.0,23,0,10,0,0,3,5,0,0
4,2,6,0.0,0.6666667,58,0,15,0,1,3,17,0,0
4,2,9,0.0,0.71428573,66,0,15,0,7,4,16,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,0,0,,0.0,39,0,1,0,0,2,19,0,0
1,0,0,,0.0,3,0,0,0,0,1,1,0,0
4,1,4,0.0,0.0,15,0,6,0,0,2,5,0,0
1,1,1,0.0,0.5,29,0,4,1,2,4,5,0,0
3,6,11,0.0,0.0,36,5,8,0,0,6,13,0,0
1,12,1,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
1,0,0,0.0,0.0,11,0,0,0,0,2,3,0,0
2,0,4,0.0,0.5,13,0,3,0,1,2,2,0,0
2,1,4,0.0,0.0,12,0,8,0,0,2,3,0,0
1,3,0,-1.0,0.0,4,0,0,0,0,0,0,0,0
1,0,1,,0.0,5,0,0,0,0,1,1,0,0
1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0,0
1,4,2,0.0,0.33333334,14,0,0,0,2,3,3,0,0
1,0,0,0.0,0.0,24,0,0,0,4,3,16,0,0
2,0,4,0.0,0.0,37,0,3,0,0,7,7,0,0
1,0,0,0.0,0.0,12,0,0,0,1,3,3,0,0
1,1,2,0.0,0.0,15,0,0,1,0,3,3,0,0
7,14,4,0.0,0.0,13,0,5,0,0,3,4,0,0
1,0,1,0.0,0.6,19,0,2,0,2,5,5,0,0
4,0,3,0.0,0.33333334,16,0,4,0,1,3,4,0,0
3,3,9,0.0,0.8,103,0,18,0,5,6,25,0,0
1,0,1,,0.0,15,0,6,0,1,1,2,0,0
4,2,7,0.0,0.7142857,39,0,14,0,3,7,16,0,0
1,0,0,,0.0,9,0,0,1,0,1,1,0,0
1,0,0,,0.0,5,0,1,0,0,1,1,0,0
1,0,2,0.0,0.75,65,0,1,1,4,2,2,0,0
1,1,1,,1.0,8,0,0,0,1,1,1,0,0
1,0,0,-1.0,,3,0,0,0,1,0,0,0,0
1,0,0,0.0,0.9791666,74,0,0,2,4,24,24,0,0
1,1,2,0.0,0.0,31,0,3,0,0,7,8,0,0
2,0,7,0.0,0.06666667,103,0,13,0,1,15,17,0,0
1,0,0,0.0,1.0,6,0,0,0,2,2,2,0,0
1,0,0,-1.0,1.0,30,0,1,1,1,3,5,0,0
1,0,0,,0.0,10,0,0,0,3,1,1,0,0
4,5,9,0.0,0.0,22,0,5,0,0,6,7,0,0
1,1,0,-1.0,0.0,3,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
3,0,1,0.0,0.0,6,0,0,0,0,2,2,0,0
1,0,0,-1.0,,5,0,0,0,3,0,0,0,0
1,14,3,0.0,0.0,6,0,0,0,0,4,4,0,0
5,2,8,0.0,0.85714287,118,0,17,0,2,7,51,1,0
4,2,10,0.0,0.6944445,86,0,28,1,4,9,20,0,0
2,0,5,0.0,0.0,21,0,4,0,1,4,4,0,0
2,0,4,0.0,0.0,31,0,4,0,0,5,5,0,0
4,2,6,0.0,0.38888893,53,0,5,0,3,6,15,0,0
1,0,0,,0.0,25,0,0,0,0,1,7,0,0
1,0,0,,0.0,4,0,0,0,0,1,1,0,0
1,0,0,-1.0,0.0,14,0,0,1,0,0,0,0,0
4,1,4,0.0,0.0,25,0,6,0,1,3,10,0,0
2,0,4,0.0,0.0,128,0,4,0,0,21,21,0,0
1,0,0,-1.0,,3,0,0,0,1,0,0,0,0
1,0,0,0.0,0.0,7,0,0,0,0,5,5,0,0
1,0,0,-1.0,,3,0,0,0,1,0,0,0,0
